__run_id,__done,Linux_Governor,Workload,avg_cpu,avg_mem,avg_cpu_powerjoular,avg_power,time
run_0,DONE,performance,buy_ticket_1000,0.362,259.618,0.032,22.582,250
run_3,DONE,performance,list_orders_1000,0.265,261.631,0.023,22.01,5
run_11,DONE,powersave,list_orders_100,9.65,259.073,0.508,35.048,5
run_6,DONE,powersave,buy_ticket_1000,0.381,259.76,0.033,20.587,250
run_5,DONE,performance,list_orders_100,0.26,257.451,0.023,21.698,5
run_8,DONE,powersave,buy_ticket_100,0.378,259.828,0.035,20.399,182
run_10,DONE,powersave,list_orders_500,0.238,262.772,0.021,20.542,4
run_2,DONE,performance,buy_ticket_100,0.363,259.873,0.032,22.727,182
run_7,DONE,powersave,buy_ticket_500,0.378,259.826,0.034,20.49,187
run_4,DONE,performance,list_orders_500,0.225,262.794,0.031,21.867,4
run_9,DONE,powersave,list_orders_1000,0.783,258.67,0.062,23.057,5
run_1,DONE,performance,buy_ticket_500,0.364,259.986,0.033,22.978,187
