Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-10-21 15:04:36,0.03125,26.90625,26.90625,0.00000
2023-10-21 15:04:37,0.43750,40.95313,40.95313,0.00000
2023-10-21 15:04:38,0.12500,27.68750,27.68750,0.00000
2023-10-21 15:04:39,0.03125,27.35938,27.35938,0.00000
