voucher2.2.m51nuaa09nfy32yorjl2vg8qk,0.00%,17.45MiB
voucher2.1.wvep33rxrsw86k87fgmg6bxh9,0.00%,17.25MiB
tts-ts-notification-service-1,0.09%,441.9MiB
tts-ts-voucher-service-1,0.00%,17.84MiB
tts-rabbitmq-1,1.43%,183.4MiB
tts-ts-rebook-service-1,0.07%,415.1MiB
tts-ts-ui-dashboard-1,5.64%,18.06MiB
tts-ts-assurance-mongo-1,0.50%,31.59MiB
tts-ts-consign-price-service-1,84.49%,416.9MiB
tts-ts-payment-service-1,0.09%,447.6MiB
tts-ts-travel2-mongo-1,0.76%,30.87MiB
tts-ts-consign-service-1,109.46%,469.8MiB
tts-ts-ticketinfo-service-1,0.08%,387.7MiB
tts-ts-security-service-1,0.13%,440.9MiB
tts-ts-inside-payment-mongo-1,0.42%,31.5MiB
tts-ts-contacts-service-1,0.09%,538.4MiB
tts-ts-order-mongo-1,0.42%,31.76MiB
tts-ts-voucher-mysql-1,0.07%,204.8MiB
tts-ts-news-service-1,0.00%,3.77MiB
tts-ts-ticket-office-service-1,0.00%,35.98MiB
tts-ts-admin-order-service-1,0.07%,440.3MiB
tts-ts-train-mongo-1,0.48%,30.93MiB
tts-ts-user-service-1,0.08%,425.6MiB
tts-ts-travel-plan-service-1,0.08%,439.9MiB
tts-ts-security-mongo-1,0.49%,31.14MiB
tts-ts-assurance-service-1,0.12%,475.9MiB
tts-ts-verification-code-service-1,16.17%,363.4MiB
tts-ts-inside-payment-service-1,0.07%,430.9MiB
tts-ts-station-mongo-1,0.42%,35.09MiB
tts-ts-admin-user-service-1,0.08%,420.5MiB
tts-ts-admin-travel-service-1,0.07%,386.5MiB
tts-ts-account-mongo-1,0.39%,30.79MiB
tts-ts-cancel-service-1,0.07%,366.7MiB
tts-ts-admin-route-service-1,0.18%,409MiB
tts-ts-route-plan-service-1,0.09%,365.6MiB
tts-ts-execute-service-1,0.07%,346.9MiB
tts-ts-contacts-mongo-1,0.42%,35.34MiB
tts-ts-preserve-other-service-1,0.07%,367.1MiB
tts-ts-order-service-1,0.09%,455.1MiB
tts-ts-price-mongo-1,0.43%,31.55MiB
tts-ts-consign-price-mongo-1,1.74%,32.33MiB
tts-ts-auth-mongo-1,2.91%,36.69MiB
tts-ts-rebook-mongo-1,0.47%,29.94MiB
tts-ts-route-service-1,0.13%,465.2MiB
tts-ts-route-mongo-1,0.44%,32.05MiB
tts-ts-seat-service-1,0.07%,354.6MiB
tts-ts-preserve-service-1,0.08%,421.5MiB
tts-ts-travel-mongo-1,0.49%,32.71MiB
tts-redis-1,0.18%,8.168MiB
tts-ts-consign-mongo-1,4.19%,34.47MiB
tts-ts-food-mongo-1,0.52%,31.29MiB
tts-ts-station-service-1,0.09%,454.6MiB
tts-ts-order-other-mongo-1,0.45%,31.16MiB
tts-ts-ticket-office-mongo-1,0.46%,30.57MiB
tts-ts-food-service-1,0.10%,510.1MiB
tts-ts-avatar-service-1,0.04%,268.2MiB
tts-ts-news-mongo-1,0.52%,31.25MiB
tts-ts-travel-service-1,0.07%,517.9MiB
tts-ts-basic-service-1,0.12%,462.1MiB
tts-ts-food-map-mongo-1,0.39%,31.28MiB
tts-ts-config-mongo-1,0.54%,31.75MiB
tts-ts-order-other-service-1,0.08%,421.3MiB
tts-ts-config-service-1,0.08%,413.3MiB
tts-ts-price-service-1,0.08%,420.1MiB
tts-ts-food-map-service-1,0.08%,454MiB
tts-ts-train-service-1,0.12%,442.3MiB
tts-ts-admin-basic-info-service-1,0.11%,360.5MiB
tts-ts-payment-mongo-1,0.46%,30.38MiB
tts-ts-auth-service-1,1196.50%,464.2MiB
tts-ts-user-mongo-1,0.47%,32.36MiB
tts-ts-travel2-service-1,0.11%,402.6MiB
notif2service2.1.3870tmaiueukd5lbufwyd1mv8,0.20%,401MiB
notif2service2.2.pn4yub8azfja2jg94979rp9u6,0.22%,379.6MiB
